SubjectID	sections
23325791	Génie civil
1581730912	Programme Sciences humaines et sociales
128676975	Informatique
1770857585	Hors plans
47565939	Génie civil|Sciences et ingénierie de l'environnement
354987130	Bioingénierie|Mineur en Neuroprosthétiques|Mineur en Neurosciences computationnelles|Sciences et technologies du vivant - master
1790138559	Systèmes de communication|Informatique
1702138731	Science et génie des matériaux
1499250198	Génie électrique et électronique|Passerelle HES - EL
1770632	Génie civil|Mineur en Énergie
24335296	Génie électrique et électronique
1678961803	Science et ingénierie computationnelles|Systèmes de communication - master|Informatique
134558590	Bioingénierie
1657719952	Génie civil|Sciences et ingénierie de l'environnement|Génie mécanique|Science et génie des matériaux|Microtechnique|Génie électrique et électronique|Mathématiques|Physique|Sciences et technologies du vivant
1776787	Architecture
129688728	Gestion de l'énergie et construction durable|Mathématiques - master|Ingénierie mathématique|Ingénierie financière|Science et ingénierie computationnelles
1776797	Architecture|Passerelle HES - AR
1679266975	Sciences et technologies du vivant
229913760	Ingénierie financière
837370054	Mathématiques - master|Ingénierie mathématique|Systèmes de communication - master|Informatique
1567044774	Génie mécanique
938058920	Génie civil|Passerelle HES - GC
1774762	Génie mécanique
1581730988	Programme Sciences humaines et sociales
1771705517	Génie mécanique|Science et génie des matériaux
1770678	Chimie moléculaire et biologique|Science et ingénierie computationnelles
1908341947	Programme Sciences humaines et sociales
1687172291	Architecture
1888402628	Science et génie des matériaux
1898529993	Passerelle HES - CGC
1585747148	Mathématiques
1774797	Génie mécanique|Mineur en Technologies spatiales
1887888591	Systèmes de communication|Informatique
1776059601	Génie électrique et électronique|Passerelle HES - EL
1771652313	Génie civil|Génie mécanique|Sciences et ingénierie de l'environnement|Mineur en Systems Engineering|Passerelle HES - GM|Passerelle HES - GC
652078287	Science et génie des matériaux
1771693280	Génie nucléaire|Physique - master|Ingénierie physique
1582861537	Mineur en Neuroprosthétiques
354383074	Mathématiques|Science et ingénierie computationnelles
132424935	Génie électrique et électronique
348210408	Architecture
1774827	Microtechnique|Passerelle HES - MT
842513650	Ingénierie financière
1774837	Chimie et génie chimique|UNIL - Sciences forensiques
1581731065	Programme Sciences humaines et sociales
127005949	Mineur en Technologies spatiales
438961411	Sciences et technologies du vivant - master
1680530693	Bioingénierie|Sciences et technologies du vivant - master
1680530700	Bioingénierie|Sciences et technologies du vivant - master
1773442	Physique
229971214	Génie civil|Passerelle HES - GC
129285391	Génie nucléaire
1908362115	Programme Sciences humaines et sociales
